cell,owner
1,62
2,62
3,62
4,62
5,62
6,62
7,62
8,62
9,62
10,62
11,62
12,62
13,62
14,62
15,62
16,62
17,62
18,62
19,62
20,62
21,62
22,62
23,62
24,62
25,62
26,62
27,62
28,62
29,62
30,62
31,62
32,62
33,62
34,62
35,62
36,62
37,62
38,62
39,62
40,62
41,62
42,62
43,62
44,62
45,62
46,62
47,62
48,62
49,62
50,62
51,62
52,62
53,62
54,62
55,62
56,62
57,62
58,62
59,62
60,62
61,62
62,62
63,62
64,62
65,62
66,62
67,62
68,62
69,62
70,62
71,62
72,62
73,62
74,62
75,62
76,62
77,62
78,62
79,62
80,62
81,62
82,62
83,62
84,62
85,62
86,62
87,62
88,62
89,62
90,62
91,62
92,62
93,62
94,62
95,62
96,62
97,62
98,62
99,62
100,62
101,62
102,62
103,62
104,62
105,62
106,62
107,62
108,62
109,62
110,62
111,62
112,62
113,62
114,62
115,62
116,62
117,62
118,62
119,62
120,62
121,62
122,62
123,62
124,62
125,62
126,62
127,62
128,62
129,62
130,62
131,62
132,62
133,62
134,62
135,62
136,62
137,62
138,62
139,62
140,62
141,62
142,62
143,62
144,62
145,62
146,62
147,370
148,370
149,62
150,733
151,62
152,62
153,62
154,62
155,62
156,62
157,62
158,62
159,62
160,62
161,370
162,62
163,370
164,370
165,370
166,370
167,62
168,62
169,733
170,62
171,62
172,62
173,62
174,62
175,62
176,62
177,62
178,62
179,370
180,370
181,370
182,370
183,370
184,370
185,370
186,62
187,733
188,733
189,62
190,62
191,62
192,62
193,62
194,62
195,62
196,370
197,370
198,370
199,370
200,370
201,370
202,370
203,370
204,370
205,733
206,733
207,733
208,733
209,62
210,62
211,62
212,62
213,62
214,62
215,370
216,370
217,370
218,370
219,370
220,370
221,370
222,370
223,370
224,733
225,733
226,733
227,733
228,733
229,62
230,62
231,62
232,370
233,370
234,370
235,370
236,370
237,370
238,370
239,370
240,370
241,370
242,370
243,370
244,370
245,370
246,370
247,733
248,733
249,733
250,733
251,733
252,62
253,62
254,62
255,62
256,62
257,62
258,370
259,370
260,370
261,370
262,370
263,370
264,370
265,370
266,370
267,370
268,370
269,370
270,370
271,370
272,733
273,733
274,733
275,733
276,733
277,62
278,62
279,62
280,62
281,62
282,733
283,370
284,370
285,370
286,370
287,370
288,370
289,370
290,370
291,370
292,370
293,370
294,370
295,370
296,370
297,370
298,370
299,733
300,733
301,733
302,733
303,733
304,62
305,62
306,62
307,733
308,733
309,733
310,370
311,370
312,370
313,370
314,370
315,370
316,370
317,370
318,370
319,370
320,370
321,370
322,370
323,370
324,370
325,370
326,370
327,370
328,733
329,733
330,733
331,733
332,733
333,62
334,733
335,733
336,733
337,733
338,370
339,370
340,370
341,370
342,370
343,370
344,370
345,370
346,370
347,370
348,370
349,370
350,370
351,370
352,370
353,370
354,370
355,370
356,370
357,370
358,370
359,733
360,733
361,733
362,733
363,733
364,62
365,733
366,733
367,733
368,733
369,370
370,370
371,370
372,370
373,370
374,370
375,370
376,370
377,370
378,370
379,370
380,370
381,370
382,370
383,370
384,370
385,370
386,370
387,370
388,370
389,370
390,370
391,733
392,733
393,733
394,733
395,733
396,733
397,733
398,733
399,733
400,733
401,733
402,733
403,370
404,370
405,370
406,370
407,370
408,370
409,370
410,370
411,370
412,370
413,370
414,370
415,370
416,370
417,370
418,370
419,370
420,370
421,370
422,370
423,733
424,733
425,733
426,733
427,733
428,733
429,733
430,733
431,733
432,733
433,733
434,733
435,370
436,370
437,370
438,370
439,370
440,370
441,370
442,370
443,370
444,370
445,370
446,370
447,370
448,370
449,370
450,370
451,370
452,370
453,370
454,733
455,733
456,733
457,733
458,733
459,733
460,733
461,733
462,733
463,733
464,733
465,733
466,370
467,370
468,370
469,370
470,370
471,370
472,370
473,370
474,370
475,370
476,370
477,370
478,370
479,370
480,370
481,370
482,370
483,370
484,370
485,370
486,370
487,370
488,733
489,733
490,733
491,733
492,733
493,733
494,733
495,733
496,733
497,733
498,733
499,733
500,370
501,370
502,370
503,370
504,370
505,370
506,370
507,370
508,370
509,370
510,370
511,370
512,370
513,370
514,370
515,370
516,370
517,370
518,370
519,370
520,733
521,733
522,733
523,733
524,733
525,733
526,733
527,733
528,733
529,733
530,733
531,733
532,370
533,370
534,370
535,370
536,370
537,370
538,370
539,370
540,370
541,370
542,370
543,370
544,370
545,370
546,733
547,733
548,733
549,733
550,733
551,733
552,733
553,733
554,733
555,733
556,733
557,733
558,733
559,370
560,370
561,370
562,370
563,370
564,370
565,370
566,370
567,370
568,370
569,370
570,733
571,733
572,733
573,733
574,733
575,733
576,733
577,733
578,733
579,733
580,733
581,733
582,370
583,370
584,370
585,370
586,370
587,370
588,370
589,370
590,370
591,370
592,733
593,733
594,733
595,733
596,733
597,733
598,733
599,733
600,733
601,733
602,733
603,370
604,370
605,370
606,370
607,370
608,370
609,370
610,370
611,370
612,733
613,733
614,733
615,733
616,733
617,733
618,733
619,733
620,733
621,733
622,733
623,370
624,370
625,370
626,370
627,370
628,370
629,370
630,370
631,733
632,733
633,733
634,733
635,733
636,733
637,733
638,733
639,733
640,733
641,733
642,370
643,370
644,370
645,370
646,370
647,370
648,370
649,733
650,733
651,733
652,733
653,733
654,733
655,733
656,733
657,733
658,733
659,733
660,733
661,370
662,370
663,370
664,370
665,733
666,733
667,733
668,733
669,733
670,733
671,733
672,733
673,733
674,733
675,733
676,733
677,733
678,370
679,370
680,370
681,733
682,370
683,733
684,733
685,733
686,733
687,733
688,733
689,733
690,733
691,733
692,733
693,733
694,733
695,733
696,733
697,733
698,733
699,733
700,733
701,733
702,733
703,733
704,733
705,733
706,733
707,733
708,733
709,733
710,733
711,733
712,733
713,733
714,733
715,733
716,733
717,733
718,733
719,733
720,733
721,733
722,733
723,733
724,733
725,733
726,733
727,733
728,733
729,733
730,733
731,733
732,733
733,733
734,733
735,733
736,733
737,733
738,733
739,733
740,733
741,733
742,733
743,733
744,733
745,733
746,733
747,733
748,733
749,733
750,733
751,733
752,733
753,733
754,733
755,733
756,733
757,733
758,733
759,733
760,733
761,733
762,733
763,733
764,733
765,733
766,733
767,733
768,733
769,733
770,733
771,733
772,733
773,733
774,733
775,733
776,733
777,733
778,733
779,733
780,733
781,733
782,733
783,733
784,733
785,733
786,733
787,733
788,733
789,733
790,733
791,733
792,733
793,733
794,733
795,733
796,733
797,733
798,733
799,733
800,733
801,733
802,733
803,733
804,733
805,733
806,733
807,733
808,733
809,733
810,733
811,733
812,733
813,733
814,733
815,733
816,733
817,733
818,733
819,733
820,733
821,733
822,733
823,733
824,733
825,733
826,733
827,733
828,733
829,733
830,733
831,733
832,733
833,733
834,733
835,733
836,733
837,733
838,733
839,733
840,733
841,733
842,733
843,733
844,733
845,733
846,733
847,733
848,733
849,733
850,733
851,733
852,733
853,733
854,733
855,733
856,733
857,733
858,733
859,733
860,733
861,733
862,733
863,733
864,733
865,733
866,733
867,733
868,733
869,733
870,733
871,733
872,733
873,733
874,733
875,733
876,733
877,733
878,733
879,733
880,733
881,733
882,733
883,733
884,733
885,733
886,733
887,733
888,733
889,733
890,733
891,733
892,733
893,733
894,733
895,733
896,733
897,733
898,733
899,733
900,733
901,733
902,733
903,733
904,733
905,733
906,733
907,733
908,733
909,733
910,733
911,733
912,733
913,733
914,733
915,733
916,733
917,733
918,733
919,733
920,733
921,733
922,733
923,733
924,733
925,733
926,733
927,733
928,733
929,733
930,733
931,733
932,733
933,733
934,733
935,733
936,733
937,733
938,733
939,733
940,733
941,733
942,733
943,733
944,733
945,733
946,733
947,733
948,733
949,733
950,733
951,733
952,733
953,733
954,733
955,733
956,733
957,733
958,733
959,733
960,733
961,733
962,733
963,733
964,733
965,733
966,733
967,733
968,733
969,733
970,733
971,733
972,733
973,733
974,733
975,733
976,733
977,733
978,733
979,733
980,733
981,733
982,733
983,733
984,733
985,733
986,733
987,733
988,733
989,733
990,733
991,733
992,733
993,733
994,733
995,733
996,733
997,733
998,733
999,733
1000,733
1001,733
1002,733
1003,733
1004,733
1005,733
1006,733
1007,733
1008,733
1009,733
1010,733
1011,733
1012,733
1013,733
1014,733
1015,733
1016,733
1017,733
1018,733
1019,733
1020,733
1021,733
1022,733
1023,733
1024,733
1025,733
1026,733
1027,733
1028,733
1029,733
1030,733
1031,733
1032,733
1033,733
1034,733
1035,733
1036,733
1037,733
1038,733
1039,733
1040,733
1041,733
1042,733
1043,733
1044,733
1045,733
1046,733
1047,733
1048,733
1049,733
1050,733
1051,733
1052,733
1053,733
1054,733
1055,733
1056,733
1057,733
1058,733
1059,733
1060,733
1061,733
1062,733
1063,733
1064,733
1065,733
1066,733
1067,733
1068,733
1069,733
1070,733
1071,733
1072,733
1073,733
1074,733
1075,733
1076,733
1077,733
1078,733
1079,733
1080,733
1081,733
1082,733
1083,733
1084,733
1085,733
1086,733
1087,733
1088,733
1089,733
1090,733
1091,733
1092,733
