cell,owner
1,25
2,25
3,15
4,15
5,6
6,19
7,19
8,7
9,9
10,25
11,25
12,25
13,25
14,25
15,16
16,15
17,16
18,18
19,7
20,20
21,21
22,22
23,25
24,25
25,25
26,25
27,27
28,25
29,29
30,30
31,31
32,43
33,33
34,58
35,25
36,25
37,25
38,25
39,25
40,25
41,40
42,42
43,43
44,44
45,58
46,58
47,173
48,25
49,25
50,27
51,27
52,93
53,93
54,53
55,55
56,43
57,57
58,58
59,59
60,173
61,25
62,25
63,173
64,173
65,93
66,93
67,67
68,68
69,69
70,69
71,58
72,173
73,173
74,173
75,173
76,25
77,173
78,173
79,173
80,80
81,108
82,82
83,83
84,84
85,71
86,101
87,173
88,173
89,173
90,173
91,173
92,173
93,173
94,173
95,108
96,96
97,97
98,97
99,99
100,100
101,173
102,173
103,173
104,103
105,173
106,173
107,173
108,173
109,108
110,108
111,97
112,160
113,113
114,128
115,128
116,101
117,173
118,173
119,173
120,173
121,173
122,173
123,173
124,173
125,110
126,110
127,403
128,160
129,160
130,128
131,128
132,132
133,173
134,173
135,173
136,173
137,173
138,173
139,403
140,403
141,173
142,142
143,403
144,403
145,160
146,403
147,403
148,403
149,173
150,173
151,173
152,173
153,403
154,403
155,403
156,173
157,195
158,158
159,403
160,403
161,128
162,403
163,403
164,403
165,403
166,403
167,169
168,169
169,173
170,173
171,403
172,173
173,173
174,403
175,403
176,403
177,403
178,403
179,403
180,403
181,403
182,403
183,403
184,403
185,403
186,205
187,188
188,188
189,403
190,403
191,173
192,173
193,403
194,403
195,403
196,403
197,403
198,403
199,403
200,403
201,403
202,403
203,403
204,403
205,205
206,205
207,207
208,226
209,173
210,403
211,403
212,403
213,403
214,403
215,403
216,403
217,403
218,403
219,403
220,403
221,403
222,403
223,403
224,360
225,225
226,173
227,173
228,173
229,403
230,403
231,403
232,403
233,403
234,403
235,403
236,403
237,403
238,403
239,403
240,403
241,403
242,403
243,403
244,403
245,403
246,403
247,360
248,248
249,274
250,226
251,403
252,403
253,403
254,403
255,403
256,403
257,403
258,403
259,403
260,403
261,403
262,403
263,403
264,403
265,403
266,403
267,403
268,403
269,403
270,403
271,403
272,360
273,273
274,301
275,275
276,276
277,403
278,403
279,403
280,403
281,403
282,403
283,403
284,403
285,403
286,403
287,403
288,403
289,403
290,403
291,403
292,403
293,403
294,403
295,403
296,403
297,403
298,403
299,360
300,360
301,301
302,302
303,303
304,210
305,403
306,403
307,403
308,403
309,403
310,403
311,403
312,403
313,403
314,403
315,403
316,403
317,403
318,403
319,403
320,403
321,403
322,403
323,403
324,403
325,403
326,403
327,403
328,301
329,301
330,301
331,331
332,397
333,403
334,403
335,403
336,403
337,403
338,403
339,403
340,403
341,403
342,403
343,403
344,403
345,403
346,403
347,403
348,403
349,403
350,403
351,403
352,403
353,403
354,403
355,403
356,403
357,403
358,403
359,360
360,301
361,301
362,362
363,363
364,403
365,403
366,403
367,403
368,403
369,403
370,403
371,403
372,403
373,403
374,403
375,403
376,403
377,403
378,403
379,403
380,403
381,403
382,403
383,403
384,403
385,403
386,403
387,403
388,403
389,403
390,403
391,391
392,392
393,397
394,397
395,397
396,403
397,403
398,403
399,403
400,403
401,403
402,403
403,403
404,403
405,403
406,403
407,403
408,403
409,403
410,403
411,403
412,403
413,403
414,403
415,403
416,403
417,403
418,403
419,403
420,403
421,403
422,403
423,391
424,424
425,456
426,426
427,427
428,428
429,430
430,403
431,397
432,403
433,403
434,403
435,403
436,403
437,403
438,403
439,403
440,403
441,403
442,403
443,403
444,403
445,403
446,403
447,403
448,403
449,403
450,403
451,403
452,403
453,403
454,454
455,455
456,456
457,456
458,458
459,459
460,494
461,462
462,462
463,403
464,403
465,403
466,403
467,403
468,403
469,403
470,403
471,403
472,403
473,403
474,403
475,403
476,403
477,403
478,403
479,403
480,403
481,403
482,403
483,403
484,419
485,519
486,519
487,519
488,488
489,488
490,490
491,491
492,492
493,525
494,494
495,496
496,496
497,403
498,403
499,403
500,403
501,403
502,403
503,403
504,403
505,403
506,403
507,403
508,403
509,403
510,403
511,403
512,403
513,403
514,403
515,419
516,519
517,519
518,519
519,519
520,520
521,488
522,522
523,523
524,525
525,525
526,525
527,496
528,623
529,403
530,403
531,403
532,403
533,403
534,403
535,403
536,403
537,403
538,403
539,403
540,403
541,403
542,403
543,519
544,519
545,519
546,546
547,547
548,521
549,549
550,550
551,525
552,552
553,553
554,555
555,623
556,403
557,403
558,403
559,403
560,403
561,403
562,403
563,403
564,403
565,403
566,403
567,403
568,403
569,519
570,570
571,571
572,549
573,573
574,573
575,576
576,576
577,599
578,578
579,579
580,403
581,403
582,403
583,403
584,403
585,403
586,403
587,403
588,403
589,403
590,403
591,403
592,592
593,573
594,573
595,595
596,574
597,616
598,598
599,599
600,600
601,403
602,403
603,403
604,403
605,403
606,403
607,403
608,403
609,403
610,403
611,403
612,612
613,613
614,616
615,616
616,616
617,617
618,637
619,599
620,623
621,403
622,403
623,403
624,403
625,403
626,403
627,403
628,403
629,403
630,403
631,613
632,632
633,633
634,634
635,635
636,636
637,637
638,638
639,639
640,623
641,403
642,403
643,403
644,403
645,403
646,403
647,403
648,403
649,649
650,631
651,651
652,633
653,672
654,672
655,655
656,656
657,657
658,623
659,403
660,403
661,403
662,403
663,403
664,403
665,403
666,403
667,650
668,668
669,669
670,653
671,671
672,672
673,673
674,674
675,677
676,403
677,403
678,403
679,403
680,403
681,403
682,403
683,683
684,684
685,685
686,686
687,687
688,688
689,689
690,623
691,623
692,403
693,403
694,403
695,403
696,403
697,403
698,684
699,699
700,700
701,701
702,702
703,703
704,623
705,691
706,691
707,403
708,403
709,403
710,403
711,403
712,403
713,713
714,713
715,715
716,716
717,732
718,718
719,719
720,735
721,721
722,623
723,403
724,623
725,403
726,403
727,403
728,728
729,715
730,730
731,744
732,732
733,733
734,734
735,735
736,736
737,623
738,623
739,403
740,403
741,403
742,744
743,744
744,744
745,745
746,746
747,748
748,748
749,749
750,623
751,403
752,403
753,403
754,403
755,623
756,623
757,757
758,758
759,775
760,760
761,779
762,762
763,763
764,814
765,403
766,623
767,623
768,623
769,623
770,623
771,623
772,623
773,789
774,775
775,775
776,779
777,779
778,779
779,763
780,623
781,623
782,623
783,623
784,623
785,623
786,623
787,623
788,623
789,789
790,775
791,791
792,792
793,793
794,794
795,623
796,623
797,623
798,623
799,623
800,623
801,966
802,966
803,623
804,824
805,824
806,824
807,824
808,808
809,791
810,810
811,811
812,623
813,623
814,623
815,623
816,833
817,623
818,623
819,623
820,966
821,966
822,824
823,824
824,824
825,824
826,826
827,826
828,828
829,829
830,830
831,623
832,832
833,833
834,623
835,623
836,966
837,966
838,966
839,966
840,824
841,824
842,824
843,878
844,878
845,828
846,846
847,847
848,850
849,850
850,833
851,818
852,803
853,966
854,966
855,855
856,856
857,824
858,824
859,966
860,860
861,966
862,966
863,881
864,864
865,865
866,966
867,966
868,966
869,966
870,889
871,912
872,872
873,824
874,824
875,939
876,939
877,939
878,966
879,966
880,966
881,966
882,966
883,966
884,966
885,966
886,966
887,966
888,889
889,912
890,912
891,891
892,824
893,824
894,875
895,939
896,939
897,939
898,939
899,939
900,943
901,943
902,966
903,966
904,966
905,966
906,966
907,966
908,966
909,966
910,933
911,933
912,954
913,954
914,914
915,939
916,939
917,939
918,939
919,939
920,939
921,943
922,943
923,943
924,943
925,966
926,966
927,966
928,966
929,966
930,966
931,966
932,966
933,933
934,933
935,954
936,954
937,939
938,939
939,939
940,939
941,943
942,943
943,943
944,944
945,945
946,966
947,966
948,966
949,966
950,966
951,966
952,952
953,933
954,954
955,954
956,956
957,939
958,939
959,939
960,939
961,943
962,943
963,963
964,964
965,965
966,966
967,966
968,966
969,966
970,929
971,971
972,971
973,973
974,954
975,954
976,939
977,939
978,1018
979,1069
980,939
981,943
982,982
983,983
984,965
985,965
986,966
987,966
988,966
989,966
990,990
991,991
992,991
993,974
994,995
995,1018
996,1018
997,1018
998,1018
999,1069
1000,1069
1001,1069
1002,1002
1003,1003
1004,1004
1005,1005
1006,1006
1007,966
1008,966
1009,966
1010,1011
1011,1011
1012,1061
1013,1030
1014,1030
1015,1034
1016,1018
1017,1018
1018,1018
1019,1018
1020,1069
1021,1069
1022,1069
1023,1023
1024,1024
1025,966
1026,966
1027,966
1028,1061
1029,966
1030,1030
1031,1061
1032,1034
1033,1034
1034,1018
1035,1018
1036,1069
1037,1069
1038,1069
1039,1069
1040,1069
1041,1041
1042,966
1043,966
1044,966
1045,966
1046,966
1047,966
1048,1048
1049,1049
1050,1034
1051,1018
1052,1052
1053,1069
1054,1069
1055,1069
1056,1069
1057,1069
1058,966
1059,966
1060,966
1061,966
1062,1048
1063,1048
1064,1075
1065,1065
1066,1069
1067,1067
1068,1069
1069,1069
1070,1069
1071,966
1072,966
1073,966
1074,1048
1075,1075
1076,1076
1077,1077
1078,1078
1079,1069
1080,1069
1081,966
1082,1048
1083,1082
1084,1090
1085,1090
1086,1086
1087,1069
1088,1090
1089,1090
1090,1090
1091,1090
1092,1086
