cell,owner
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,9
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,24
37,25
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,61
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,103
75,75
76,76
77,77
78,78
79,79
80,80
81,96
82,82
83,83
84,84
85,85
86,86
87,87
88,103
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,166
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,166
116,116
117,117
118,118
119,103
120,120
121,121
122,122
123,123
124,124
125,125
126,143
127,128
128,128
129,129
130,130
131,166
132,132
133,133
134,134
135,135
136,103
137,137
138,122
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,147
147,166
148,166
149,149
150,150
151,135
152,152
153,153
154,172
155,172
156,139
157,157
158,158
159,159
160,160
161,161
162,198
163,182
164,201
165,166
166,166
167,167
168,168
169,169
170,170
171,152
172,172
173,173
174,174
175,139
176,176
177,177
178,160
179,179
180,198
181,218
182,182
183,201
184,166
185,166
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,193
194,281
195,281
196,281
197,197
198,198
199,198
200,218
201,220
202,201
203,201
204,185
205,205
206,206
207,207
208,208
209,209
210,210
211,191
212,281
213,281
214,281
215,281
216,216
217,217
218,198
219,218
220,220
221,220
222,220
223,201
224,224
225,225
226,226
227,227
228,228
229,230
230,281
231,281
232,370
233,370
234,370
235,370
236,218
237,218
238,218
239,239
240,220
241,201
242,244
243,244
244,244
245,245
246,245
247,247
248,248
249,249
250,250
251,251
252,252
253,229
254,281
255,281
256,370
257,531
258,370
259,259
260,218
261,218
262,262
263,316
264,316
265,316
266,292
267,244
268,414
269,245
270,245
271,324
272,272
273,273
274,274
275,275
276,276
277,278
278,278
279,531
280,531
281,531
282,370
283,283
284,341
285,218
286,341
287,316
288,316
289,317
290,317
291,347
292,347
293,414
294,414
295,324
296,324
297,324
298,298
299,299
300,300
301,301
302,302
303,303
304,304
305,278
306,278
307,531
308,531
309,531
310,531
311,311
312,531
313,341
314,341
315,316
316,316
317,347
318,347
319,347
320,414
321,413
322,413
323,324
324,324
325,298
326,418
327,418
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,367
336,281
337,531
338,531
339,370
340,531
341,531
342,341
343,316
344,316
345,347
346,347
347,413
348,413
349,413
350,413
351,414
352,414
353,324
354,418
355,418
356,418
357,358
358,358
359,359
360,360
361,361
362,362
363,363
364,364
365,365
366,366
367,367
368,370
369,531
370,531
371,531
372,531
373,531
374,531
375,316
376,316
377,376
378,413
379,413
380,413
381,413
382,413
383,324
384,324
385,324
386,418
387,483
388,358
389,483
390,358
391,360
392,392
393,393
394,394
395,395
396,396
397,397
398,398
399,399
400,531
401,531
402,531
403,531
404,531
405,531
406,531
407,316
408,376
409,378
410,442
411,413
412,413
413,413
414,413
415,413
416,416
417,418
418,483
419,483
420,483
421,483
422,483
423,423
424,424
425,456
426,426
427,427
428,428
429,429
430,430
431,431
432,432
433,433
434,531
435,531
436,531
437,531
438,531
439,437
440,471
441,442
442,442
443,413
444,413
445,413
446,413
447,478
448,448
449,416
450,418
451,483
452,483
453,483
454,454
455,455
456,456
457,457
458,458
459,459
460,460
461,461
462,462
463,463
464,531
465,531
466,531
467,531
468,531
469,437
470,437
471,531
472,442
473,413
474,413
475,413
476,413
477,508
478,448
479,512
480,483
481,483
482,483
483,483
484,484
485,485
486,485
487,486
488,488
489,521
490,490
491,491
492,492
493,493
494,494
495,495
496,496
497,497
498,531
499,531
500,531
501,531
502,531
503,471
504,531
505,471
506,471
507,507
508,508
509,413
510,413
511,508
512,448
513,481
514,483
515,515
516,516
517,517
518,518
519,519
520,520
521,521
522,522
523,523
524,524
525,525
526,526
527,527
528,528
529,529
530,531
531,531
532,531
533,531
534,531
535,531
536,471
537,537
538,537
539,539
540,566
541,508
542,511
543,543
544,544
545,545
546,546
547,547
548,548
549,549
550,550
551,551
552,552
553,553
554,554
555,555
556,531
557,531
558,531
559,531
560,531
561,561
562,562
563,563
564,564
