cell,owner
1,2
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,3
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,12
25,36
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,29
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,53
53,41
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,77
77,77
78,78
79,94
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,88
90,105
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,88
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,118
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,160
128,160
129,146
130,130
131,146
132,132
133,133
134,134
135,135
136,136
137,137
138,154
139,138
140,140
141,141
142,142
143,143
144,196
145,160
146,146
147,146
148,146
149,149
150,150
151,151
152,152
153,153
154,154
155,154
156,156
157,157
158,158
159,159
160,196
161,161
162,146
163,163
164,164
165,165
166,201
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,193
176,193
177,177
178,196
179,178
180,180
181,200
182,182
183,201
184,201
185,201
186,186
187,187
188,188
189,189
190,190
191,210
192,212
193,195
194,195
195,255
196,255
197,197
198,198
199,199
200,200
201,201
202,201
203,201
204,201
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,195
213,195
214,195
215,255
216,257
217,217
218,218
219,237
220,237
221,201
222,201
223,201
224,224
225,225
226,226
227,227
228,228
229,229
230,212
231,212
232,255
233,255
234,257
235,216
236,237
237,259
238,237
239,221
240,201
241,348
242,348
243,268
244,268
245,269
246,246
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,255
255,255
256,255
257,255
258,259
259,259
260,259
261,259
262,313
263,316
264,316
265,268
266,348
267,268
268,348
