cell_number,neighbours,nation,productivity,national_productivity,border_cell,India,SEA,cell_into_conflict,nation_in_conflict,prod_faced,already_conflict,river,ruggedness,uniform_productivity,uniform_national_productivity,religion,language_group,temp_min,temp_max,religion_1450,ruggedness_vrm,hemid_temp_min,hemid_temp_max,wc_temp_max,wc_temp_min,productivity_gaezv4,national_productivity_gaezv4
365,"333,334,364,366,396,397",365,5.959668213,5.959668213,1,1,0,0,,,0,0,37.59225455,1,1,2,7,-77.39374145,33.39374161,3,0.079044484,-68.49431058,42.69912985,23.63866133,-88.77262389,28.136,28.136
366,"334,335,365,367,397,398",366,7.278206846,7.278206846,1,1,0,0,,,0,0,42.27158112,1,1,2,7,-69.20799875,29.65930387,3,0.075935179,-58.17587015,39.61646586,14.26867467,-85.59511381,201.536,201.536
367,"335,336,366,368,398,399",367,17.70805594,17.70805594,1,1,0,0,,,0,0,39.10651483,1,1,2,8,86.50066899,180.5992305,2,0.109083794,100.7730924,181.7255689,177.0920615,84.20105092,2864.096,2864.096
368,"336,337,367,369,399,400",368,19.96427348,19.96427348,1,1,0,0,,,0,0,17.57303175,1,1,1,8,142.4871154,264.3949132,2,0.237920647,158.3796854,250.2521754,258.6399395,146.9612052,3166.688,3166.688
369,"337,338,368,370,400,401",369,41.80713413,41.80713413,1,1,0,0,,,0,0,1.224196499,1,1,1,8,169.6755355,302.1347052,2,0.50119885,185.2021419,288.106593,303.0956628,172.8349596,2510.072,2510.072
370,"338,339,369,371,401,402",370,46.96742082,46.96742082,1,1,0,0,,,0,0,1.953143919,1,1,1,6,176.4405955,307.2971886,2,0.509081341,191.2349398,292.8622825,314.7465061,179.5634067,1844.544,1844.544
371,"339,340,370,372,402,403",371,26.44988477,26.44988477,1,1,0,0,,,0,0,2.110142321,1,1,1,6,178.0043509,318.7387885,1,0.476655982,181.9929719,306.9349063,321.7557031,181.9133672,1695.16,1695.16
372,"340,341,371,373,403,404",372,13.93081639,13.93081639,1,1,0,0,,,0,1,2.839167423,1,1,1,6,177.5816603,316.0496987,1,0.383932674,178.1571285,311.4390897,326.7266665,185.5646451,1656.72,1656.72
373,"341,342,372,374,404,405",373,16.06462093,16.06462093,1,1,0,0,,,0,1,2.843411758,1,1,1,6,171.8261379,314.8182732,1,0.306903878,175.0676037,308.9139893,325.9118742,187.2424498,1747.12,1747.12
374,"342,343,373,375,405,406",374,16.49655926,16.49655926,1,1,0,0,,,0,0,2.146462139,1,1,1,6,172.4258702,319.4275436,1,0.296557896,175.6773762,309.7329317,328.4368739,188.4281058,2586.936,2586.936
375,"343,344,374,376,406,407",375,17.51946328,17.51946328,1,1,0,0,,,0,0,1.910446874,1,1,1,6,180.4106423,319.3709839,1,0.315737824,182.4330656,310.8500669,329.4244377,189.1611779,2801.592,2801.592
376,"344,345,375,377,407,408",376,20.3492797,20.3492797,1,1,0,0,,,0,1,2.563970743,1,1,1,6,183.5746322,315.2458166,1,0.346176612,185.5565596,313.3110776,329.9695314,194.7419274,2726.936,2726.936
377,"345,346,376,378,408,409",377,19.10256934,19.10256934,1,1,0,0,,,0,0,7.302257424,1,1,1,6,180.0073627,305.5066929,1,0.238153377,184.267905,310.4817604,321.7170214,195.2096253,2944.128,2944.128
378,"346,347,377,379,409,410",378,18.18231785,18.18231785,1,1,0,0,,,0,0,1.776583226,1,1,1,6,190.3657963,329.0224229,1,0.32020587,200.7849732,326.1832329,338.534103,207.3918142,2618.264,2618.264
379,"347,348,378,380,410,411",379,18.47664634,18.47664634,1,1,0,0,,,0,0,2.658562062,1,1,1,6,186.6987949,328.3306564,1,0.270187954,195.7511714,322.0458501,330.3594779,203.2660842,3250.192,3250.192
380,"348,349,379,381,411,412",380,23.15843667,23.15843667,1,1,0,0,,,0,0,2.504976349,1,1,1,6,191.7237283,317.1753677,1,0.218833233,197.5001673,322.3674699,333.3284737,203.5049197,3374.848,3374.848
381,"349,350,380,382,412,413",381,19.15683126,19.15683126,1,1,0,0,,,0,0,2.222011685,1,1,1,1,194.3458831,309.3145922,1,0.204157733,200.4692102,316.1890897,328.3729315,200.02249,3287.472,3287.472
382,"350,351,381,383,413,414",382,24.60921385,24.60921385,1,1,0,0,,,0,1,2.11683178,1,1,1,1,205.7163653,317.5058567,1,0.288506501,208.5759705,324.9139893,331.8661112,212.1393506,2082.84,2082.84
383,"351,352,382,384,414,415",383,22.29872835,22.29872835,1,1,0,0,,,0,0,1.919822721,1,1,1,1,206.3713185,320.1112782,1,0.358515766,207.7461513,322.1064257,327.5307028,215.2419678,803.096,803.096
384,"352,353,383,385,415,416",384,26.74102598,26.74102598,1,1,0,0,,,0,0,2.538259959,1,1,1,1,200.9765731,323.6296854,1,0.291726198,205.1373829,318.8634538,325.382068,213.9460842,610.112,610.112
385,"353,354,384,386,416,417",385,23.30006446,23.30006446,1,1,0,0,,,0,0,3.117879432,1,1,1,1,185.2864793,301.4211852,1,0.239246867,189.8432062,302.4186747,307.8360842,198.1203479,1507.44,1507.44
386,"354,355,385,387,417,418",386,21.31821259,21.31821259,1,1,0,0,,,0,0,4.110469788,1,1,1,1,182.3652943,288.4208498,1,0.216692852,187.3761714,295.9822624,298.9002476,192.6657162,2423.36,2423.36
387,"355,356,386,388,418,419",387,24.53876248,24.53876248,1,1,0,0,,,0,0,9.70257158,1,1,1,1,181.2192102,284.5510369,1,0.191749265,191.9313922,290.4769076,295.7255287,191.6947524,2823.432,2823.432
388,"356,357,387,389,419,420",388,41.7306329,41.7306329,1,1,0,0,,,0,0,7.366146275,1,1,1,1,198.8547525,289.4519746,1,0.245280372,207.7456493,298.7883199,305.6312985,205.8255624,3271.664,3271.664
389,"357,358,388,390,420,421",389,39.09522778,39.09522778,1,1,0,0,,,0,0,17.65867262,1,1,1,1,194.9111446,272.2652277,1,0.190851002,199.121988,279.9009371,282.779953,198.3704618,4134.072,4134.072
390,"358,389,421,422",390,40.48950363,40.48950363,1,1,0,0,,,0,0,11.70963844,1,1,1,1,224.2901518,293.3950752,1,0.241152204,227.3151515,297.7340909,305.0673073,226.6353613,4054.5,4054.5
391,"359,360,392,423,424",391,0.807263189,0.807263189,1,0,0,0,,,0,0,1.396097033,1,1,2,8,48.29566668,189.7165001,3,0.492530703,62.07316667,202.9841667,201.0474998,52.07595305,0.0001,0.0001
392,"360,361,391,393,424,425",392,0.106015196,0.106015196,1,0,0,0,,,0,0,2.759144183,1,1,2,8,49.02466673,192.6211667,3,0.432499515,61.50283333,205.2613333,207.2110538,51.4529796,0.0001,0.0001
393,"361,362,392,394,425,426",393,0.469789613,0.469789613,1,0,0,0,,,0,0,21.97016243,1,1,2,8,-7.586333366,130.0869999,3,0.146356132,3.965333333,142.7425,136.9311667,-4.007246616,0.0001,0.0001
394,"362,363,393,395,426,427",394,0.25007253,0.25007253,1,0,0,0,,,0,0,28.64497581,1,1,2,8,-123.7924998,1.137333342,3,0.095905521,-114.0188333,14.86266667,5.591246687,-131.4003333,0.0001,0.0001
395,"363,364,394,396,427,428",395,0.473630891,0.473630891,1,1,0,0,,,0,0,26.02818721,1,1,2,8,-140.3348332,-20.81600002,3,0.097864701,-131.5571667,-4.6745,-35.26372001,-158.3585067,0.0001,0.0001
396,"364,365,395,397,428,429",396,3.096670711,3.096670711,1,1,0,0,,,0,0,32.74093139,1,1,2,7,-99.65133337,24.67949996,3,0.071011857,-92.11666667,39.81183333,7.581819975,-109.2695467,16.072,16.072
397,"365,366,396,398,429,430",397,3.804030708,3.804030708,1,1,0,0,,,0,0,25.88921875,1,1,2,7,-100.8814999,15.93199998,3,0.078044766,-95.237,28.77583333,7.213446709,-114.6813733,0.0001,0.0001
